### Cluster 71 — Symptoms (34)
Symptom,Frequency
tearing pains in knees,2
neuralgic pains in arms,2
rheumatic conditions,1
burning,2
burning in urethra,2
urinary symptoms,1
amblyopia,1
urine scanty,1
frequent urination,2
tearing pains in elbows,1
marked burning,1
pain in urethra,1
bruised sensation in legs,3
neuralgic pains in joints,1
violent pain in region of kidneys,1
urine bloody,1
gouty pains,3
bruised sensation in arms,2
better from warmth,2
bruised sensation in joints,3
tearing pains in hips,1
swelling in gouty states,1
backache,1
burning sensation in kidneys,1
pain in kidneys,1
tearing pains in legs,1
tearing pains in shoulders,1
neuralgic pains in legs,1
pressure in kidneys,1
urine with odor of violets,1
gouty complaints,1
stiffness in joints,1
pain in joints,1
rheumatic complaints,1

### Top Remedies
Remedy,Symptoms_Covered
terebinthina,30
sulphuricum acidum,9
urtica urens,2
cannabis sativa,2
manganum,1
palladium,1
cicuta virosa,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
frequent urination,neuralgic pains in legs,0.5,1
frequent urination,pressure in kidneys,0.5,1
frequent urination,urine with odor of violets,0.5,1
urine with odor of violets,tearing pains in knees,1.0,1
urine with odor of violets,neuralgic pains in arms,1.0,1
urine with odor of violets,rheumatic conditions,1.0,1
urine with odor of violets,burning,1.0,1
urine with odor of violets,burning in urethra,1.0,1
urine with odor of violets,urinary symptoms,1.0,1
urine with odor of violets,amblyopia,1.0,1
urine with odor of violets,urine scanty,1.0,1
urine with odor of violets,frequent urination,1.0,1
urine with odor of violets,tearing pains in elbows,1.0,1
urine with odor of violets,marked burning,1.0,1
urine with odor of violets,pain in urethra,1.0,1
urine with odor of violets,bruised sensation in legs,1.0,1
urine with odor of violets,neuralgic pains in joints,1.0,1
urine with odor of violets,violent pain in region of kidneys,1.0,1
urine with odor of violets,urine bloody,1.0,1
urine with odor of violets,gouty pains,1.0,1
urine with odor of violets,bruised sensation in arms,1.0,1
urine with odor of violets,better from warmth,1.0,1
urine with odor of violets,bruised sensation in joints,1.0,1
urine with odor of violets,tearing pains in hips,1.0,1
urine with odor of violets,swelling in gouty states,1.0,1
urine with odor of violets,backache,1.0,1
urine with odor of violets,burning sensation in kidneys,1.0,1
urine with odor of violets,pain in kidneys,1.0,1
urine with odor of violets,tearing pains in legs,1.0,1
urine with odor of violets,tearing pains in shoulders,1.0,1
urine with odor of violets,neuralgic pains in legs,1.0,1
urine with odor of violets,pressure in kidneys,1.0,1
rheumatic complaints,gouty complaints,1.0,1
rheumatic complaints,bruised sensation in legs,1.0,1
rheumatic complaints,stiffness in joints,1.0,1
rheumatic complaints,gouty pains,1.0,1
rheumatic complaints,bruised sensation in arms,1.0,1
rheumatic complaints,better from warmth,1.0,1
rheumatic complaints,bruised sensation in joints,1.0,1
rheumatic complaints,pain in joints,1.0,1
neuralgic pains in joints,tearing pains in knees,1.0,1
neuralgic pains in joints,neuralgic pains in arms,1.0,1
neuralgic pains in joints,rheumatic conditions,1.0,1
neuralgic pains in joints,burning,1.0,1
neuralgic pains in joints,burning in urethra,1.0,1
neuralgic pains in joints,urinary symptoms,1.0,1
neuralgic pains in joints,amblyopia,1.0,1
neuralgic pains in joints,urine scanty,1.0,1
neuralgic pains in joints,frequent urination,1.0,1
neuralgic pains in joints,tearing pains in elbows,1.0,1
neuralgic pains in joints,marked burning,1.0,1
neuralgic pains in joints,pain in urethra,1.0,1
neuralgic pains in joints,bruised sensation in legs,1.0,1
neuralgic pains in joints,violent pain in region of kidneys,1.0,1
neuralgic pains in joints,urine bloody,1.0,1
neuralgic pains in joints,gouty pains,1.0,1
neuralgic pains in joints,bruised sensation in arms,1.0,1
neuralgic pains in joints,better from warmth,1.0,1
neuralgic pains in joints,bruised sensation in joints,1.0,1
neuralgic pains in joints,tearing pains in hips,1.0,1
neuralgic pains in joints,swelling in gouty states,1.0,1
neuralgic pains in joints,backache,1.0,1
neuralgic pains in joints,burning sensation in kidneys,1.0,1
neuralgic pains in joints,pain in kidneys,1.0,1
neuralgic pains in joints,tearing pains in legs,1.0,1
neuralgic pains in joints,tearing pains in shoulders,1.0,1
neuralgic pains in joints,neuralgic pains in legs,1.0,1
neuralgic pains in joints,pressure in kidneys,1.0,1
neuralgic pains in joints,urine with odor of violets,1.0,1
urine bloody,tearing pains in knees,1.0,1
urine bloody,neuralgic pains in arms,1.0,1
urine bloody,rheumatic conditions,1.0,1
urine bloody,burning,1.0,1
urine bloody,burning in urethra,1.0,1
urine bloody,urinary symptoms,1.0,1
urine bloody,amblyopia,1.0,1
urine bloody,urine scanty,1.0,1
urine bloody,frequent urination,1.0,1
urine bloody,tearing pains in elbows,1.0,1
urine bloody,marked burning,1.0,1
urine bloody,pain in urethra,1.0,1
urine bloody,bruised sensation in legs,1.0,1
urine bloody,neuralgic pains in joints,1.0,1
urine bloody,violent pain in region of kidneys,1.0,1
urine bloody,gouty pains,1.0,1
urine bloody,bruised sensation in arms,1.0,1
urine bloody,better from warmth,1.0,1
urine bloody,bruised sensation in joints,1.0,1
urine bloody,tearing pains in hips,1.0,1
urine bloody,swelling in gouty states,1.0,1
urine bloody,backache,1.0,1
urine bloody,burning sensation in kidneys,1.0,1
