### Cluster 15 — Symptoms (36)
Symptom,Frequency
drawing rheumatic pains from side of neck to limbs,1
jerking of elbows,1
sharp stitches in joints,1
jerking in thigh,1
children under seven years,1
rheumatic drawing in left tarsus,1
great rigidity of muscles of neck,1
starting in sleep,2
aching drawing pain in right arm above elbow,1
sharp stitches in right shin bone,1
cannot bend forward,1
beginning of inflammation of joints,1
jerking in knee joints,1
great rigidity of muscles of back,1
inflammatory affections of brain,1
restless motion of head,1
worse during winter,1
drawing pains in thighs,1
pressing pain in left tarsus,1
restless motion,1
stitches in forearm,1
rheumatism of muscles,1
pain in upper dorsal vertebrae,1
stinging pains in joints,1
constrictive rheumatic pain in deltoid muscle,1
rheumatic pain on top of head,1
dullness,1
drawing up of leg in sleep,1
pain in shoulders,1
fine sharp stitches in forearm,1
tearing burning pains from neck to left axilla,1
drawing laming pains in muscles,1
jerking of muscles of arms,1
pain in cervical vertebrae,1
rheumatic origin,1
jerking of muscles of thighs,1

### Top Remedies
Remedy,Symptoms_Covered
stramonium,36

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
stinging pains in joints,tearing burning pains from neck to left axilla,1.0,1
stinging pains in joints,drawing laming pains in muscles,1.0,1
stinging pains in joints,jerking of muscles of arms,1.0,1
stinging pains in joints,pain in cervical vertebrae,1.0,1
stinging pains in joints,rheumatic origin,1.0,1
stinging pains in joints,jerking of muscles of thighs,1.0,1
jerking in knee joints,drawing rheumatic pains from side of neck to limbs,1.0,1
jerking in knee joints,jerking of elbows,1.0,1
jerking in knee joints,sharp stitches in joints,1.0,1
jerking in knee joints,jerking in thigh,1.0,1
jerking in knee joints,children under seven years,1.0,1
jerking in knee joints,rheumatic drawing in left tarsus,1.0,1
jerking in knee joints,great rigidity of muscles of neck,1.0,1
jerking in knee joints,starting in sleep,1.0,1
jerking in knee joints,aching drawing pain in right arm above elbow,1.0,1
jerking in knee joints,sharp stitches in right shin bone,1.0,1
jerking in knee joints,cannot bend forward,1.0,1
jerking in knee joints,beginning of inflammation of joints,1.0,1
jerking in knee joints,great rigidity of muscles of back,1.0,1
jerking in knee joints,inflammatory affections of brain,1.0,1
jerking in knee joints,restless motion of head,1.0,1
jerking in knee joints,worse during winter,1.0,1
jerking in knee joints,drawing pains in thighs,1.0,1
jerking in knee joints,pressing pain in left tarsus,1.0,1
jerking in knee joints,restless motion,1.0,1
jerking in knee joints,stitches in forearm,1.0,1
jerking in knee joints,rheumatism of muscles,1.0,1
jerking in knee joints,pain in upper dorsal vertebrae,1.0,1
jerking in knee joints,stinging pains in joints,1.0,1
jerking in knee joints,constrictive rheumatic pain in deltoid muscle,1.0,1
jerking in knee joints,rheumatic pain on top of head,1.0,1
jerking in knee joints,dullness,1.0,1
jerking in knee joints,drawing up of leg in sleep,1.0,1
jerking in knee joints,pain in shoulders,1.0,1
jerking in knee joints,fine sharp stitches in forearm,1.0,1
jerking in knee joints,tearing burning pains from neck to left axilla,1.0,1
jerking in knee joints,drawing laming pains in muscles,1.0,1
jerking in knee joints,jerking of muscles of arms,1.0,1
jerking in knee joints,pain in cervical vertebrae,1.0,1
jerking in knee joints,rheumatic origin,1.0,1
jerking in knee joints,jerking of muscles of thighs,1.0,1
drawing rheumatic pains from side of neck to limbs,jerking of elbows,1.0,1
drawing rheumatic pains from side of neck to limbs,sharp stitches in joints,1.0,1
drawing rheumatic pains from side of neck to limbs,jerking in thigh,1.0,1
drawing rheumatic pains from side of neck to limbs,children under seven years,1.0,1
drawing rheumatic pains from side of neck to limbs,rheumatic drawing in left tarsus,1.0,1
