### Cluster 55 — Symptoms (59)
Symptom,Frequency
tarsal bones of right foot greatly swollen,1
debilitating night sweats,1
rheumatic arthritic syphilitic or gonorrhoeal ophthalmia,1
trembling of extremities,1
stinging pain in small of back,1
agitation as if frightened,1
arms and thighs sore to touch,1
painful swelling in metatarsal bones,1
phlegmonous inflammation and swelling of lids,1
drawing and tearing in all the limbs,1
tearing in hip joint and knee with pulsating pain,1
pains around eyes on forehead and temples,1
very sensitive to touch,3
swelling of tarsal bones of right foot very red,1
sticking pain with unsteadiness in back knees and feet,1
sudden pain and stiffness of nape of neck and both upper and lower limbs,1
glands swollen,1
acrid lachrymation,1
bruised sensation of scapulae back and small of back,1
painful stiffness in limbs,1
tearing and stitching in lower limbs,1
rheumatic affections of capsular ligaments of arms,1
pupil dilated and covered with a thin film,1
profuse sweat without relief in gouty rheumatic patients,1
stinging especially in hip joint femur and knee,1
fingers of both hands flexed and drawn inward,1
has to have assistance to change position,1
rheumatic and arthritic pains tearing stinging,1
lancinating in shoulder joints arms and wrists,1
awakens with trembling at the heart,1
severe tearing boring cutting in damp weather,1
sensation as if arms were too heavy,1
pain in left thigh with soreness to touch,1
iris discoloured,1
rheumatic pains in legs with stinging,1
shooting from deep in the eye,1
fingers cannot be opened without much exertion,1
fetid breath,1
brought on by exposure,1
red and hot swelling from elbow to wrist,1
glands of neck swollen and painful on swallowing in rheumatism,1
weakness at heart as if dying,1
throbbing and shooting pains in eyes,1
boring and drawing pain in tibia,1
rheumatic stiffness and swelling of neck,1
aching pain at apex extending upward toward base of heart,1
conjunctiva of right eye greatly inflamed and swollen,1
lies motionless in bed,1
cardiac oppression,1
great photophobia,1
tearing pains in forehead and vertex,1
sprained pain in right tarsal joints,1
flow of hot tears,1
white ring around cornea,1
sticking pain in small of back when breathing,1
acute pain in tarsal bones,1
weakness and weariness,1
tendency to form adhesions in rheumatic iritis,1
rheumatic affections of shoulders and upper arms,1

### Top Remedies
Remedy,Symptoms_Covered
mercurius,59
sabina,1
silica,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
fingers cannot be opened without much exertion,stinging pain in small of back,1.0,1
fingers cannot be opened without much exertion,agitation as if frightened,1.0,1
fingers cannot be opened without much exertion,arms and thighs sore to touch,1.0,1
fingers cannot be opened without much exertion,painful swelling in metatarsal bones,1.0,1
fingers cannot be opened without much exertion,phlegmonous inflammation and swelling of lids,1.0,1
fingers cannot be opened without much exertion,drawing and tearing in all the limbs,1.0,1
fingers cannot be opened without much exertion,tearing in hip joint and knee with pulsating pain,1.0,1
fingers cannot be opened without much exertion,pains around eyes on forehead and temples,1.0,1
fingers cannot be opened without much exertion,very sensitive to touch,1.0,1
fingers cannot be opened without much exertion,swelling of tarsal bones of right foot very red,1.0,1
fingers cannot be opened without much exertion,sticking pain with unsteadiness in back knees and feet,1.0,1
fingers cannot be opened without much exertion,sudden pain and stiffness of nape of neck and both upper and lower limbs,1.0,1
fingers cannot be opened without much exertion,glands swollen,1.0,1
fingers cannot be opened without much exertion,acrid lachrymation,1.0,1
fingers cannot be opened without much exertion,bruised sensation of scapulae back and small of back,1.0,1
fingers cannot be opened without much exertion,painful stiffness in limbs,1.0,1
fingers cannot be opened without much exertion,tearing and stitching in lower limbs,1.0,1
fingers cannot be opened without much exertion,rheumatic affections of capsular ligaments of arms,1.0,1
fingers cannot be opened without much exertion,pupil dilated and covered with a thin film,1.0,1
fingers cannot be opened without much exertion,profuse sweat without relief in gouty rheumatic patients,1.0,1
fingers cannot be opened without much exertion,stinging especially in hip joint femur and knee,1.0,1
fingers cannot be opened without much exertion,fingers of both hands flexed and drawn inward,1.0,1
fingers cannot be opened without much exertion,has to have assistance to change position,1.0,1
fingers cannot be opened without much exertion,rheumatic and arthritic pains tearing stinging,1.0,1
fingers cannot be opened without much exertion,lancinating in shoulder joints arms and wrists,1.0,1
fingers cannot be opened without much exertion,awakens with trembling at the heart,1.0,1
fingers cannot be opened without much exertion,severe tearing boring cutting in damp weather,1.0,1
fingers cannot be opened without much exertion,sensation as if arms were too heavy,1.0,1
fingers cannot be opened without much exertion,pain in left thigh with soreness to touch,1.0,1
fingers cannot be opened without much exertion,iris discoloured,1.0,1
fingers cannot be opened without much exertion,rheumatic pains in legs with stinging,1.0,1
fingers cannot be opened without much exertion,shooting from deep in the eye,1.0,1
fingers cannot be opened without much exertion,fetid breath,1.0,1
fingers cannot be opened without much exertion,brought on by exposure,1.0,1
fingers cannot be opened without much exertion,red and hot swelling from elbow to wrist,1.0,1
fingers cannot be opened without much exertion,glands of neck swollen and painful on swallowing in rheumatism,1.0,1
fingers cannot be opened without much exertion,weakness at heart as if dying,1.0,1
fingers cannot be opened without much exertion,throbbing and shooting pains in eyes,1.0,1
fingers cannot be opened without much exertion,boring and drawing pain in tibia,1.0,1
fingers cannot be opened without much exertion,rheumatic stiffness and swelling of neck,1.0,1
fingers cannot be opened without much exertion,aching pain at apex extending upward toward base of heart,1.0,1
fingers cannot be opened without much exertion,conjunctiva of right eye greatly inflamed and swollen,1.0,1
fingers cannot be opened without much exertion,lies motionless in bed,1.0,1
fingers cannot be opened without much exertion,cardiac oppression,1.0,1
fingers cannot be opened without much exertion,great photophobia,1.0,1
fingers cannot be opened without much exertion,tearing pains in forehead and vertex,1.0,1
fingers cannot be opened without much exertion,sprained pain in right tarsal joints,1.0,1
fingers cannot be opened without much exertion,flow of hot tears,1.0,1
fingers cannot be opened without much exertion,white ring around cornea,1.0,1
fingers cannot be opened without much exertion,sticking pain in small of back when breathing,1.0,1
fingers cannot be opened without much exertion,acute pain in tarsal bones,1.0,1
fingers cannot be opened without much exertion,weakness and weariness,1.0,1
fingers cannot be opened without much exertion,tendency to form adhesions in rheumatic iritis,1.0,1
fingers cannot be opened without much exertion,rheumatic affections of shoulders and upper arms,1.0,1
severe tearing boring cutting in damp weather,tarsal bones of right foot greatly swollen,1.0,1
severe tearing boring cutting in damp weather,debilitating night sweats,1.0,1
severe tearing boring cutting in damp weather,rheumatic arthritic syphilitic or gonorrhoeal ophthalmia,1.0,1
severe tearing boring cutting in damp weather,trembling of extremities,1.0,1
severe tearing boring cutting in damp weather,stinging pain in small of back,1.0,1
severe tearing boring cutting in damp weather,agitation as if frightened,1.0,1
severe tearing boring cutting in damp weather,arms and thighs sore to touch,1.0,1
severe tearing boring cutting in damp weather,painful swelling in metatarsal bones,1.0,1
severe tearing boring cutting in damp weather,phlegmonous inflammation and swelling of lids,1.0,1
severe tearing boring cutting in damp weather,drawing and tearing in all the limbs,1.0,1
severe tearing boring cutting in damp weather,tearing in hip joint and knee with pulsating pain,1.0,1
severe tearing boring cutting in damp weather,pains around eyes on forehead and temples,1.0,1
severe tearing boring cutting in damp weather,very sensitive to touch,1.0,1
severe tearing boring cutting in damp weather,swelling of tarsal bones of right foot very red,1.0,1
severe tearing boring cutting in damp weather,sticking pain with unsteadiness in back knees and feet,1.0,1
severe tearing boring cutting in damp weather,sudden pain and stiffness of nape of neck and both upper and lower limbs,1.0,1
severe tearing boring cutting in damp weather,glands swollen,1.0,1
severe tearing boring cutting in damp weather,acrid lachrymation,1.0,1
severe tearing boring cutting in damp weather,bruised sensation of scapulae back and small of back,1.0,1
severe tearing boring cutting in damp weather,painful stiffness in limbs,1.0,1
severe tearing boring cutting in damp weather,tearing and stitching in lower limbs,1.0,1
severe tearing boring cutting in damp weather,rheumatic affections of capsular ligaments of arms,1.0,1
severe tearing boring cutting in damp weather,pupil dilated and covered with a thin film,1.0,1
severe tearing boring cutting in damp weather,profuse sweat without relief in gouty rheumatic patients,1.0,1
severe tearing boring cutting in damp weather,stinging especially in hip joint femur and knee,1.0,1
severe tearing boring cutting in damp weather,fingers of both hands flexed and drawn inward,1.0,1
severe tearing boring cutting in damp weather,has to have assistance to change position,1.0,1
severe tearing boring cutting in damp weather,rheumatic and arthritic pains tearing stinging,1.0,1
severe tearing boring cutting in damp weather,lancinating in shoulder joints arms and wrists,1.0,1
severe tearing boring cutting in damp weather,awakens with trembling at the heart,1.0,1
severe tearing boring cutting in damp weather,sensation as if arms were too heavy,1.0,1
severe tearing boring cutting in damp weather,pain in left thigh with soreness to touch,1.0,1
severe tearing boring cutting in damp weather,iris discoloured,1.0,1
severe tearing boring cutting in damp weather,rheumatic pains in legs with stinging,1.0,1
severe tearing boring cutting in damp weather,shooting from deep in the eye,1.0,1
severe tearing boring cutting in damp weather,fingers cannot be opened without much exertion,1.0,1
severe tearing boring cutting in damp weather,fetid breath,1.0,1
severe tearing boring cutting in damp weather,brought on by exposure,1.0,1
severe tearing boring cutting in damp weather,red and hot swelling from elbow to wrist,1.0,1
severe tearing boring cutting in damp weather,glands of neck swollen and painful on swallowing in rheumatism,1.0,1
severe tearing boring cutting in damp weather,weakness at heart as if dying,1.0,1
severe tearing boring cutting in damp weather,throbbing and shooting pains in eyes,1.0,1
severe tearing boring cutting in damp weather,boring and drawing pain in tibia,1.0,1
severe tearing boring cutting in damp weather,rheumatic stiffness and swelling of neck,1.0,1
severe tearing boring cutting in damp weather,aching pain at apex extending upward toward base of heart,1.0,1
severe tearing boring cutting in damp weather,conjunctiva of right eye greatly inflamed and swollen,1.0,1
severe tearing boring cutting in damp weather,lies motionless in bed,1.0,1
severe tearing boring cutting in damp weather,cardiac oppression,1.0,1
severe tearing boring cutting in damp weather,great photophobia,1.0,1
severe tearing boring cutting in damp weather,tearing pains in forehead and vertex,1.0,1
severe tearing boring cutting in damp weather,sprained pain in right tarsal joints,1.0,1
severe tearing boring cutting in damp weather,flow of hot tears,1.0,1
severe tearing boring cutting in damp weather,white ring around cornea,1.0,1
severe tearing boring cutting in damp weather,sticking pain in small of back when breathing,1.0,1
severe tearing boring cutting in damp weather,acute pain in tarsal bones,1.0,1
severe tearing boring cutting in damp weather,weakness and weariness,1.0,1
severe tearing boring cutting in damp weather,tendency to form adhesions in rheumatic iritis,1.0,1
severe tearing boring cutting in damp weather,rheumatic affections of shoulders and upper arms,1.0,1
drawing and tearing in all the limbs,tarsal bones of right foot greatly swollen,1.0,1
drawing and tearing in all the limbs,debilitating night sweats,1.0,1
drawing and tearing in all the limbs,rheumatic arthritic syphilitic or gonorrhoeal ophthalmia,1.0,1
drawing and tearing in all the limbs,trembling of extremities,1.0,1
drawing and tearing in all the limbs,stinging pain in small of back,1.0,1
drawing and tearing in all the limbs,agitation as if frightened,1.0,1
drawing and tearing in all the limbs,arms and thighs sore to touch,1.0,1
drawing and tearing in all the limbs,painful swelling in metatarsal bones,1.0,1
drawing and tearing in all the limbs,phlegmonous inflammation and swelling of lids,1.0,1
drawing and tearing in all the limbs,tearing in hip joint and knee with pulsating pain,1.0,1
drawing and tearing in all the limbs,pains around eyes on forehead and temples,1.0,1
drawing and tearing in all the limbs,very sensitive to touch,1.0,1
