### Cluster 16 — Symptoms (13)
Symptom,Frequency
sudden catch in lumbar region,1
violent pains in tips of fingers,1
aversion to heat,1
rheumatic conditions in cachectic individuals,1
restlessness with great debility,1
kink in lumbar region,1
aversion to being covered,1
purpura hemorrhagica,2
cramps in hands,1
affects joints of lower extremities,1
cachectic females,1
intense icy coldness of skin,1
painful swelling of fingers,1

### Top Remedies
Remedy,Symptoms_Covered
secale cornutum,13

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
affects joints of lower extremities,cramps in hands,1.0,1
affects joints of lower extremities,cachectic females,1.0,1
affects joints of lower extremities,intense icy coldness of skin,1.0,1
affects joints of lower extremities,painful swelling of fingers,1.0,1
rheumatic conditions in cachectic individuals,sudden catch in lumbar region,1.0,1
rheumatic conditions in cachectic individuals,violent pains in tips of fingers,1.0,1
rheumatic conditions in cachectic individuals,aversion to heat,1.0,1
rheumatic conditions in cachectic individuals,restlessness with great debility,1.0,1
rheumatic conditions in cachectic individuals,kink in lumbar region,1.0,1
rheumatic conditions in cachectic individuals,aversion to being covered,1.0,1
rheumatic conditions in cachectic individuals,purpura hemorrhagica,1.0,1
rheumatic conditions in cachectic individuals,cramps in hands,1.0,1
rheumatic conditions in cachectic individuals,affects joints of lower extremities,1.0,1
rheumatic conditions in cachectic individuals,cachectic females,1.0,1
rheumatic conditions in cachectic individuals,intense icy coldness of skin,1.0,1
rheumatic conditions in cachectic individuals,painful swelling of fingers,1.0,1
kink in lumbar region,sudden catch in lumbar region,1.0,1
kink in lumbar region,violent pains in tips of fingers,1.0,1
kink in lumbar region,aversion to heat,1.0,1
kink in lumbar region,rheumatic conditions in cachectic individuals,1.0,1
kink in lumbar region,restlessness with great debility,1.0,1
kink in lumbar region,aversion to being covered,1.0,1
kink in lumbar region,purpura hemorrhagica,1.0,1
kink in lumbar region,cramps in hands,1.0,1
kink in lumbar region,affects joints of lower extremities,1.0,1
kink in lumbar region,cachectic females,1.0,1
kink in lumbar region,intense icy coldness of skin,1.0,1
kink in lumbar region,painful swelling of fingers,1.0,1
violent pains in tips of fingers,sudden catch in lumbar region,1.0,1
violent pains in tips of fingers,aversion to heat,1.0,1
violent pains in tips of fingers,rheumatic conditions in cachectic individuals,1.0,1
violent pains in tips of fingers,restlessness with great debility,1.0,1
violent pains in tips of fingers,kink in lumbar region,1.0,1
violent pains in tips of fingers,aversion to being covered,1.0,1
violent pains in tips of fingers,purpura hemorrhagica,1.0,1
violent pains in tips of fingers,cramps in hands,1.0,1
violent pains in tips of fingers,affects joints of lower extremities,1.0,1
violent pains in tips of fingers,cachectic females,1.0,1
violent pains in tips of fingers,intense icy coldness of skin,1.0,1
violent pains in tips of fingers,painful swelling of fingers,1.0,1
