### Cluster 40 — Symptoms (32)
Symptom,Frequency
pains around left knee as if something were tight,1
cannot put foot to ground when walking but only when standing,1
rheumatic pain in shoulders worse at night,1
pain as from dislocation of shoulder joint when moving it,1
lax fibres,1
pain in shoulder,1
soreness in chest and region of heart,1
especially suitable for children of irritable disposition,1
pains neuralgic lightning-like,1
many neuralgic pains,1
drawing pains in legs and feet,1
suitable for dark-haired sensitive people who are spare and thin,1
suitable for worn out women,1
must get up and walk,1
sour smelling,1
can hardly raise arm,1
unrefreshing sleep,1
swelling in bend of knee very painful,1
knees painful when walking,1
stitches,1
more tired in morning than when going to bed,1
restless,1
great internal heat at night,1
pains insupportable during repose,1
stitch from without inward in precordial region,1
adapted to children of irritable nervous disposition,1
no swelling or soreness,1
much pain in right shoulder,1
red swelling of fingers,1
lameness of right arm,1
feet painful when lying in bed,1
rheumatic pain in shoulders with tingling down fingers prevents least motion,1

### Top Remedies
Remedy,Symptoms_Covered
magnesia carbonica,32

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
lameness of right arm,red swelling of fingers,1.0,1
lameness of right arm,feet painful when lying in bed,1.0,1
lameness of right arm,rheumatic pain in shoulders with tingling down fingers prevents least motion,1.0,1
suitable for worn out women,pains around left knee as if something were tight,1.0,1
suitable for worn out women,cannot put foot to ground when walking but only when standing,1.0,1
suitable for worn out women,rheumatic pain in shoulders worse at night,1.0,1
suitable for worn out women,pain as from dislocation of shoulder joint when moving it,1.0,1
suitable for worn out women,lax fibres,1.0,1
suitable for worn out women,pain in shoulder,1.0,1
suitable for worn out women,soreness in chest and region of heart,1.0,1
suitable for worn out women,especially suitable for children of irritable disposition,1.0,1
suitable for worn out women,pains neuralgic lightning-like,1.0,1
suitable for worn out women,many neuralgic pains,1.0,1
suitable for worn out women,drawing pains in legs and feet,1.0,1
suitable for worn out women,suitable for dark-haired sensitive people who are spare and thin,1.0,1
suitable for worn out women,must get up and walk,1.0,1
suitable for worn out women,sour smelling,1.0,1
suitable for worn out women,can hardly raise arm,1.0,1
suitable for worn out women,unrefreshing sleep,1.0,1
suitable for worn out women,swelling in bend of knee very painful,1.0,1
suitable for worn out women,knees painful when walking,1.0,1
suitable for worn out women,stitches,1.0,1
suitable for worn out women,more tired in morning than when going to bed,1.0,1
suitable for worn out women,restless,1.0,1
suitable for worn out women,great internal heat at night,1.0,1
suitable for worn out women,pains insupportable during repose,1.0,1
suitable for worn out women,stitch from without inward in precordial region,1.0,1
suitable for worn out women,adapted to children of irritable nervous disposition,1.0,1
suitable for worn out women,no swelling or soreness,1.0,1
suitable for worn out women,much pain in right shoulder,1.0,1
suitable for worn out women,red swelling of fingers,1.0,1
suitable for worn out women,lameness of right arm,1.0,1
suitable for worn out women,feet painful when lying in bed,1.0,1
suitable for worn out women,rheumatic pain in shoulders with tingling down fingers prevents least motion,1.0,1
pains around left knee as if something were tight,cannot put foot to ground when walking but only when standing,1.0,1
pains around left knee as if something were tight,rheumatic pain in shoulders worse at night,1.0,1
pains around left knee as if something were tight,pain as from dislocation of shoulder joint when moving it,1.0,1
pains around left knee as if something were tight,lax fibres,1.0,1
pains around left knee as if something were tight,pain in shoulder,1.0,1
pains around left knee as if something were tight,soreness in chest and region of heart,1.0,1
pains around left knee as if something were tight,especially suitable for children of irritable disposition,1.0,1
pains around left knee as if something were tight,pains neuralgic lightning-like,1.0,1
pains around left knee as if something were tight,many neuralgic pains,1.0,1
pains around left knee as if something were tight,drawing pains in legs and feet,1.0,1
pains around left knee as if something were tight,suitable for dark-haired sensitive people who are spare and thin,1.0,1
pains around left knee as if something were tight,suitable for worn out women,1.0,1
pains around left knee as if something were tight,must get up and walk,1.0,1
pains around left knee as if something were tight,sour smelling,1.0,1
pains around left knee as if something were tight,can hardly raise arm,1.0,1
pains around left knee as if something were tight,unrefreshing sleep,1.0,1
pains around left knee as if something were tight,swelling in bend of knee very painful,1.0,1
pains around left knee as if something were tight,knees painful when walking,1.0,1
pains around left knee as if something were tight,stitches,1.0,1
pains around left knee as if something were tight,more tired in morning than when going to bed,1.0,1
pains around left knee as if something were tight,restless,1.0,1
pains around left knee as if something were tight,great internal heat at night,1.0,1
pains around left knee as if something were tight,pains insupportable during repose,1.0,1
pains around left knee as if something were tight,stitch from without inward in precordial region,1.0,1
pains around left knee as if something were tight,adapted to children of irritable nervous disposition,1.0,1
pains around left knee as if something were tight,no swelling or soreness,1.0,1
pains around left knee as if something were tight,much pain in right shoulder,1.0,1
pains around left knee as if something were tight,red swelling of fingers,1.0,1
pains around left knee as if something were tight,lameness of right arm,1.0,1
pains around left knee as if something were tight,feet painful when lying in bed,1.0,1
