### Cluster 10 — Symptoms (46)
Symptom,Frequency
pain in sacrum,4
rheumatic arthritis of joints of fingers,1
flatulency with much rolling,1
piercing pain in left hip and small of back,1
compelling him to move constantly,1
cracking of joints in arthritis,1
causing excruciating pain,1
nephritis,1
pains suddenly go to heart,1
pain in hip causing him to move frequently,1
uric acid deposits in finger joints,1
complaints from eating food grown in damp places,1
sciatica when getting up or sitting down or turning in bed,1
stiffness of knee,1
piercing pains on humerus,1
piercing as from knives between scapulae,1
pain in left hip as after lying in a bad position,1
pain in right hip joint,1
piercing pains in left axilla,1
piercing pains fingers and under nails,1
awakens him at night,1
stitches in nape of neck,1
rheumatic pains in limbs associated with gastric symptoms,1
complaints from living in damp places,1
cannot lie on either side,1
sycosis,1
piercing pains back of hand,1
impossible to continue walking,1
pressure in left side of back near lumbar region,1
making it very difficult to ascend or sit down or get up,1
bruised pain in small of back and sacrum,1
piercing pains palm of right hand,1
irritable liver with stitches in liver,1
sudden stitch in left hip,1
no relief in any position,1
flexors of hands painful when grasping anything,1
gastric complaints with much acidity,1
gout in feet in acute or chronic conditions,1
fingers swollen and stiff,1
soreness up and down spine and neck,1
marked dyspnoea during damp cloudy weather,1
dirty greenish-grey or greenish-brown coating on back of tongue,1
piercing pain only during rest,1
pain in hip extending to knee,1
pains in limbs compelling him to change position frequently,1
constant shifting of position,1

### Top Remedies
Remedy,Symptoms_Covered
natrum sulphuricum,46
tellurium,1
sulphur,1
syphilinum,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
making it very difficult to ascend or sit down or get up,pain in hip extending to knee,1.0,1
making it very difficult to ascend or sit down or get up,pains in limbs compelling him to change position frequently,1.0,1
making it very difficult to ascend or sit down or get up,constant shifting of position,1.0,1
marked dyspnoea during damp cloudy weather,rheumatic arthritis of joints of fingers,1.0,1
marked dyspnoea during damp cloudy weather,flatulency with much rolling,1.0,1
marked dyspnoea during damp cloudy weather,piercing pain in left hip and small of back,1.0,1
marked dyspnoea during damp cloudy weather,compelling him to move constantly,1.0,1
marked dyspnoea during damp cloudy weather,cracking of joints in arthritis,1.0,1
marked dyspnoea during damp cloudy weather,causing excruciating pain,1.0,1
marked dyspnoea during damp cloudy weather,nephritis,1.0,1
marked dyspnoea during damp cloudy weather,pains suddenly go to heart,1.0,1
marked dyspnoea during damp cloudy weather,pain in hip causing him to move frequently,1.0,1
marked dyspnoea during damp cloudy weather,uric acid deposits in finger joints,1.0,1
marked dyspnoea during damp cloudy weather,complaints from eating food grown in damp places,1.0,1
marked dyspnoea during damp cloudy weather,sciatica when getting up or sitting down or turning in bed,1.0,1
marked dyspnoea during damp cloudy weather,stiffness of knee,1.0,1
marked dyspnoea during damp cloudy weather,piercing pains on humerus,1.0,1
marked dyspnoea during damp cloudy weather,piercing as from knives between scapulae,1.0,1
marked dyspnoea during damp cloudy weather,pain in left hip as after lying in a bad position,1.0,1
marked dyspnoea during damp cloudy weather,pain in right hip joint,1.0,1
marked dyspnoea during damp cloudy weather,piercing pains in left axilla,1.0,1
marked dyspnoea during damp cloudy weather,piercing pains fingers and under nails,1.0,1
marked dyspnoea during damp cloudy weather,awakens him at night,1.0,1
marked dyspnoea during damp cloudy weather,stitches in nape of neck,1.0,1
marked dyspnoea during damp cloudy weather,rheumatic pains in limbs associated with gastric symptoms,1.0,1
marked dyspnoea during damp cloudy weather,complaints from living in damp places,1.0,1
marked dyspnoea during damp cloudy weather,cannot lie on either side,1.0,1
marked dyspnoea during damp cloudy weather,sycosis,1.0,1
marked dyspnoea during damp cloudy weather,pain in sacrum,1.0,1
marked dyspnoea during damp cloudy weather,piercing pains back of hand,1.0,1
marked dyspnoea during damp cloudy weather,impossible to continue walking,1.0,1
marked dyspnoea during damp cloudy weather,pressure in left side of back near lumbar region,1.0,1
marked dyspnoea during damp cloudy weather,making it very difficult to ascend or sit down or get up,1.0,1
marked dyspnoea during damp cloudy weather,bruised pain in small of back and sacrum,1.0,1
marked dyspnoea during damp cloudy weather,piercing pains palm of right hand,1.0,1
marked dyspnoea during damp cloudy weather,irritable liver with stitches in liver,1.0,1
marked dyspnoea during damp cloudy weather,sudden stitch in left hip,1.0,1
marked dyspnoea during damp cloudy weather,no relief in any position,1.0,1
marked dyspnoea during damp cloudy weather,flexors of hands painful when grasping anything,1.0,1
marked dyspnoea during damp cloudy weather,gastric complaints with much acidity,1.0,1
marked dyspnoea during damp cloudy weather,gout in feet in acute or chronic conditions,1.0,1
marked dyspnoea during damp cloudy weather,fingers swollen and stiff,1.0,1
marked dyspnoea during damp cloudy weather,soreness up and down spine and neck,1.0,1
marked dyspnoea during damp cloudy weather,dirty greenish-grey or greenish-brown coating on back of tongue,1.0,1
marked dyspnoea during damp cloudy weather,piercing pain only during rest,1.0,1
marked dyspnoea during damp cloudy weather,pain in hip extending to knee,1.0,1
marked dyspnoea during damp cloudy weather,pains in limbs compelling him to change position frequently,1.0,1
marked dyspnoea during damp cloudy weather,constant shifting of position,1.0,1
pain in sacrum,rheumatic arthritis of joints of fingers,0.25,1
pain in sacrum,flatulency with much rolling,0.25,1
pain in sacrum,piercing pain in left hip and small of back,0.25,1
pain in sacrum,compelling him to move constantly,0.25,1
pain in sacrum,cracking of joints in arthritis,0.25,1
pain in sacrum,causing excruciating pain,0.25,1
pain in sacrum,nephritis,0.25,1
pain in sacrum,pains suddenly go to heart,0.25,1
pain in sacrum,pain in hip causing him to move frequently,0.25,1
pain in sacrum,uric acid deposits in finger joints,0.25,1
pain in sacrum,complaints from eating food grown in damp places,0.25,1
pain in sacrum,sciatica when getting up or sitting down or turning in bed,0.25,1
pain in sacrum,stiffness of knee,0.25,1
pain in sacrum,piercing pains on humerus,0.25,1
pain in sacrum,piercing as from knives between scapulae,0.25,1
pain in sacrum,pain in left hip as after lying in a bad position,0.25,1
pain in sacrum,pain in right hip joint,0.25,1
pain in sacrum,piercing pains in left axilla,0.25,1
pain in sacrum,piercing pains fingers and under nails,0.25,1
pain in sacrum,awakens him at night,0.25,1
pain in sacrum,stitches in nape of neck,0.25,1
pain in sacrum,rheumatic pains in limbs associated with gastric symptoms,0.25,1
pain in sacrum,complaints from living in damp places,0.25,1
pain in sacrum,cannot lie on either side,0.25,1
pain in sacrum,sycosis,0.25,1
pain in sacrum,piercing pains back of hand,0.25,1
pain in sacrum,impossible to continue walking,0.25,1
pain in sacrum,pressure in left side of back near lumbar region,0.25,1
pain in sacrum,making it very difficult to ascend or sit down or get up,0.25,1
pain in sacrum,bruised pain in small of back and sacrum,0.25,1
