### Cluster 52 — Symptoms (25)
Symptom,Frequency
tarsal joints swollen,1
sciatica with contractions of hamstrings in chronic cases,1
all muscles are painful and heavy,1
stiffness and arthritic swellings,1
shortening contraction of muscles,1
great toe red with tearing and stinging,1
stitches in muscles and joints of hands and fingers,1
many and varied usually constitutional,1
children late in learning to walk,1
painful stiffness of neck,1
spine oversensitive to touch or pressure,1
tension and drawing,1
periodical gout attacks,1
sprained pain in ankles and knees,1
lameness in ankle joint,1
gnawing pains in knee,1
worse while straightening up,1
chronic rheumatism of joints,1
sensation as of a sprain in shoulder joint,1
pain in back from stooping,1
painful tension in bends of limbs,1
drawing pain in right thigh extending to knee,1
housemaid’s knee,1
can move finger joints with difficulty,1
constantly moving limbs,1

### Top Remedies
Remedy,Symptoms_Covered
natrum muriaticum,25

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
periodical gout attacks,spine oversensitive to touch or pressure,1.0,1
periodical gout attacks,tension and drawing,1.0,1
periodical gout attacks,sprained pain in ankles and knees,1.0,1
periodical gout attacks,lameness in ankle joint,1.0,1
periodical gout attacks,gnawing pains in knee,1.0,1
periodical gout attacks,worse while straightening up,1.0,1
periodical gout attacks,chronic rheumatism of joints,1.0,1
periodical gout attacks,sensation as of a sprain in shoulder joint,1.0,1
periodical gout attacks,pain in back from stooping,1.0,1
periodical gout attacks,painful tension in bends of limbs,1.0,1
periodical gout attacks,drawing pain in right thigh extending to knee,1.0,1
periodical gout attacks,housemaid’s knee,1.0,1
periodical gout attacks,can move finger joints with difficulty,1.0,1
periodical gout attacks,constantly moving limbs,1.0,1
stiffness and arthritic swellings,tarsal joints swollen,1.0,1
stiffness and arthritic swellings,sciatica with contractions of hamstrings in chronic cases,1.0,1
stiffness and arthritic swellings,all muscles are painful and heavy,1.0,1
stiffness and arthritic swellings,shortening contraction of muscles,1.0,1
stiffness and arthritic swellings,great toe red with tearing and stinging,1.0,1
stiffness and arthritic swellings,stitches in muscles and joints of hands and fingers,1.0,1
stiffness and arthritic swellings,many and varied usually constitutional,1.0,1
stiffness and arthritic swellings,children late in learning to walk,1.0,1
stiffness and arthritic swellings,painful stiffness of neck,1.0,1
stiffness and arthritic swellings,spine oversensitive to touch or pressure,1.0,1
stiffness and arthritic swellings,tension and drawing,1.0,1
stiffness and arthritic swellings,periodical gout attacks,1.0,1
stiffness and arthritic swellings,sprained pain in ankles and knees,1.0,1
stiffness and arthritic swellings,lameness in ankle joint,1.0,1
stiffness and arthritic swellings,gnawing pains in knee,1.0,1
stiffness and arthritic swellings,worse while straightening up,1.0,1
stiffness and arthritic swellings,chronic rheumatism of joints,1.0,1
stiffness and arthritic swellings,sensation as of a sprain in shoulder joint,1.0,1
stiffness and arthritic swellings,pain in back from stooping,1.0,1
stiffness and arthritic swellings,painful tension in bends of limbs,1.0,1
stiffness and arthritic swellings,drawing pain in right thigh extending to knee,1.0,1
stiffness and arthritic swellings,housemaid’s knee,1.0,1
stiffness and arthritic swellings,can move finger joints with difficulty,1.0,1
stiffness and arthritic swellings,constantly moving limbs,1.0,1
sprained pain in ankles and knees,tarsal joints swollen,1.0,1
sprained pain in ankles and knees,sciatica with contractions of hamstrings in chronic cases,1.0,1
sprained pain in ankles and knees,all muscles are painful and heavy,1.0,1
sprained pain in ankles and knees,stiffness and arthritic swellings,1.0,1
sprained pain in ankles and knees,shortening contraction of muscles,1.0,1
sprained pain in ankles and knees,great toe red with tearing and stinging,1.0,1
sprained pain in ankles and knees,stitches in muscles and joints of hands and fingers,1.0,1
sprained pain in ankles and knees,many and varied usually constitutional,1.0,1
sprained pain in ankles and knees,children late in learning to walk,1.0,1
sprained pain in ankles and knees,painful stiffness of neck,1.0,1
sprained pain in ankles and knees,spine oversensitive to touch or pressure,1.0,1
sprained pain in ankles and knees,tension and drawing,1.0,1
sprained pain in ankles and knees,periodical gout attacks,1.0,1
sprained pain in ankles and knees,lameness in ankle joint,1.0,1
sprained pain in ankles and knees,gnawing pains in knee,1.0,1
sprained pain in ankles and knees,worse while straightening up,1.0,1
sprained pain in ankles and knees,chronic rheumatism of joints,1.0,1
sprained pain in ankles and knees,sensation as of a sprain in shoulder joint,1.0,1
sprained pain in ankles and knees,pain in back from stooping,1.0,1
sprained pain in ankles and knees,painful tension in bends of limbs,1.0,1
sprained pain in ankles and knees,drawing pain in right thigh extending to knee,1.0,1
sprained pain in ankles and knees,housemaid’s knee,1.0,1
sprained pain in ankles and knees,can move finger joints with difficulty,1.0,1
sprained pain in ankles and knees,constantly moving limbs,1.0,1
shortening contraction of muscles,tarsal joints swollen,1.0,1
shortening contraction of muscles,sciatica with contractions of hamstrings in chronic cases,1.0,1
shortening contraction of muscles,all muscles are painful and heavy,1.0,1
shortening contraction of muscles,stiffness and arthritic swellings,1.0,1
shortening contraction of muscles,great toe red with tearing and stinging,1.0,1
shortening contraction of muscles,stitches in muscles and joints of hands and fingers,1.0,1
shortening contraction of muscles,many and varied usually constitutional,1.0,1
shortening contraction of muscles,children late in learning to walk,1.0,1
shortening contraction of muscles,painful stiffness of neck,1.0,1
shortening contraction of muscles,spine oversensitive to touch or pressure,1.0,1
shortening contraction of muscles,tension and drawing,1.0,1
shortening contraction of muscles,periodical gout attacks,1.0,1
shortening contraction of muscles,sprained pain in ankles and knees,1.0,1
shortening contraction of muscles,lameness in ankle joint,1.0,1
shortening contraction of muscles,gnawing pains in knee,1.0,1
shortening contraction of muscles,worse while straightening up,1.0,1
shortening contraction of muscles,chronic rheumatism of joints,1.0,1
shortening contraction of muscles,sensation as of a sprain in shoulder joint,1.0,1
shortening contraction of muscles,pain in back from stooping,1.0,1
shortening contraction of muscles,painful tension in bends of limbs,1.0,1
shortening contraction of muscles,drawing pain in right thigh extending to knee,1.0,1
shortening contraction of muscles,housemaid’s knee,1.0,1
shortening contraction of muscles,can move finger joints with difficulty,1.0,1
shortening contraction of muscles,constantly moving limbs,1.0,1
tarsal joints swollen,sciatica with contractions of hamstrings in chronic cases,1.0,1
tarsal joints swollen,all muscles are painful and heavy,1.0,1
tarsal joints swollen,stiffness and arthritic swellings,1.0,1
tarsal joints swollen,shortening contraction of muscles,1.0,1
tarsal joints swollen,great toe red with tearing and stinging,1.0,1
tarsal joints swollen,stitches in muscles and joints of hands and fingers,1.0,1
tarsal joints swollen,many and varied usually constitutional,1.0,1
tarsal joints swollen,children late in learning to walk,1.0,1
tarsal joints swollen,painful stiffness of neck,1.0,1
tarsal joints swollen,spine oversensitive to touch or pressure,1.0,1
tarsal joints swollen,tension and drawing,1.0,1
tarsal joints swollen,periodical gout attacks,1.0,1
tarsal joints swollen,sprained pain in ankles and knees,1.0,1
tarsal joints swollen,lameness in ankle joint,1.0,1
tarsal joints swollen,gnawing pains in knee,1.0,1
tarsal joints swollen,worse while straightening up,1.0,1
tarsal joints swollen,chronic rheumatism of joints,1.0,1
tarsal joints swollen,sensation as of a sprain in shoulder joint,1.0,1
tarsal joints swollen,pain in back from stooping,1.0,1
tarsal joints swollen,painful tension in bends of limbs,1.0,1
tarsal joints swollen,drawing pain in right thigh extending to knee,1.0,1
tarsal joints swollen,housemaid’s knee,1.0,1
tarsal joints swollen,can move finger joints with difficulty,1.0,1
tarsal joints swollen,constantly moving limbs,1.0,1
worse while straightening up,tarsal joints swollen,1.0,1
worse while straightening up,sciatica with contractions of hamstrings in chronic cases,1.0,1
worse while straightening up,all muscles are painful and heavy,1.0,1
worse while straightening up,stiffness and arthritic swellings,1.0,1
worse while straightening up,shortening contraction of muscles,1.0,1
worse while straightening up,great toe red with tearing and stinging,1.0,1
worse while straightening up,stitches in muscles and joints of hands and fingers,1.0,1
worse while straightening up,many and varied usually constitutional,1.0,1
worse while straightening up,children late in learning to walk,1.0,1
worse while straightening up,painful stiffness of neck,1.0,1
worse while straightening up,spine oversensitive to touch or pressure,1.0,1
worse while straightening up,tension and drawing,1.0,1
worse while straightening up,periodical gout attacks,1.0,1
worse while straightening up,sprained pain in ankles and knees,1.0,1
worse while straightening up,lameness in ankle joint,1.0,1
worse while straightening up,gnawing pains in knee,1.0,1
worse while straightening up,chronic rheumatism of joints,1.0,1
worse while straightening up,sensation as of a sprain in shoulder joint,1.0,1
worse while straightening up,pain in back from stooping,1.0,1
worse while straightening up,painful tension in bends of limbs,1.0,1
worse while straightening up,drawing pain in right thigh extending to knee,1.0,1
worse while straightening up,housemaid’s knee,1.0,1
worse while straightening up,can move finger joints with difficulty,1.0,1
worse while straightening up,constantly moving limbs,1.0,1
lameness in ankle joint,tarsal joints swollen,1.0,1
lameness in ankle joint,sciatica with contractions of hamstrings in chronic cases,1.0,1
lameness in ankle joint,all muscles are painful and heavy,1.0,1
lameness in ankle joint,stiffness and arthritic swellings,1.0,1
lameness in ankle joint,shortening contraction of muscles,1.0,1
lameness in ankle joint,great toe red with tearing and stinging,1.0,1
lameness in ankle joint,stitches in muscles and joints of hands and fingers,1.0,1
lameness in ankle joint,many and varied usually constitutional,1.0,1
lameness in ankle joint,children late in learning to walk,1.0,1
lameness in ankle joint,painful stiffness of neck,1.0,1
lameness in ankle joint,spine oversensitive to touch or pressure,1.0,1
lameness in ankle joint,tension and drawing,1.0,1
lameness in ankle joint,periodical gout attacks,1.0,1
lameness in ankle joint,sprained pain in ankles and knees,1.0,1
lameness in ankle joint,gnawing pains in knee,1.0,1
lameness in ankle joint,worse while straightening up,1.0,1
lameness in ankle joint,chronic rheumatism of joints,1.0,1
lameness in ankle joint,sensation as of a sprain in shoulder joint,1.0,1
lameness in ankle joint,pain in back from stooping,1.0,1
lameness in ankle joint,painful tension in bends of limbs,1.0,1
lameness in ankle joint,drawing pain in right thigh extending to knee,1.0,1
lameness in ankle joint,housemaid’s knee,1.0,1
lameness in ankle joint,can move finger joints with difficulty,1.0,1
lameness in ankle joint,constantly moving limbs,1.0,1
all muscles are painful and heavy,tarsal joints swollen,1.0,1
all muscles are painful and heavy,sciatica with contractions of hamstrings in chronic cases,1.0,1
all muscles are painful and heavy,stiffness and arthritic swellings,1.0,1
all muscles are painful and heavy,shortening contraction of muscles,1.0,1
all muscles are painful and heavy,great toe red with tearing and stinging,1.0,1
all muscles are painful and heavy,stitches in muscles and joints of hands and fingers,1.0,1
all muscles are painful and heavy,many and varied usually constitutional,1.0,1
all muscles are painful and heavy,children late in learning to walk,1.0,1
all muscles are painful and heavy,painful stiffness of neck,1.0,1
all muscles are painful and heavy,spine oversensitive to touch or pressure,1.0,1
all muscles are painful and heavy,tension and drawing,1.0,1
all muscles are painful and heavy,periodical gout attacks,1.0,1
all muscles are painful and heavy,sprained pain in ankles and knees,1.0,1
all muscles are painful and heavy,lameness in ankle joint,1.0,1
all muscles are painful and heavy,gnawing pains in knee,1.0,1
